Sample_name;Sampling_origin;Elt1;Elt2;Elt3;Elt4;Elt5;Elt6;Elt7
S4_12;Site4;0,709645948;1,71E-02;0,553652316;3,56E-03;1149,948195;16,70021495;1,405676197
S4_13;Site4;0,709665057;0,134992251;3,405667499;4,28E-03;1710,132982;44,3458347;2,273500612
S4_14;Site4;0,709680158;0,129554528;1,753426449;4,55E-03;4131,791113;124,7544913;2,795831863
S4_15;Site4;0,709687611;2,62E-02;0,897088376;4,58E-03;2567,764132;73,50058277;2,026302965
S4_16;Site4;0,709704663;9,01E-02;8,35289805;4,34E-03;2528,101275;58,90144008;0,456592659
S4_17;Site4;0,709747904;0,058456375;2,684309965;4,29E-03;2468,857115;69,06208521;0,525416412
S4_18;Site4;0,709747904;5,07E-02;2,700296142;4,43E-03;2546,260653;68,2917222;0,734532814
S5_1;Site5;0,709940894;8,38E-02;2,286363252;3,21E-03;1831,321163;235,4877252;15,06141048
S5_2;Site5;0,71000111;6,11E-02;0,56891058;2,95E-03;3314,359113;9,454256942;1,810738704
S5_3;Site5;0,710037739;0,100987952;1,063986488;3,85E-03;2205,315128;109,7206614;12,263161
S5_4;Site5;0,710091002;0,243764764;1,12631176;3,64E-03;2529,793763;140,0593983;3,190513608
S5_5;Site5;0,710100139;0,033102855;0,923246723;3,32E-03;1415,136035;145,4975749;56,60311604
S5_6;Site5;0,710110156;0,095752892;2,681982741;4,55E-03;2275,522923;213,4169397;19,2672301
S5_7;Site5;0,710122785;9,05E-02;0,772145422;3,50E-03;1494,499309;120,1783196;2,80674454
S5_8;Site5;0,710148657;6,98E-02;0,626779409;4,50E-03;1786,759872;139,8835559;15,78900312
S5_9;Site5;0,710162172;6,76E-02;0,74561141;0,00468999;2226,137363;132,5836265;1,456183301
S5_10;Site5;0,710190954;4,66E-02;1,001577136;3,64E-03;6,22E-02;0,391490453;513,0677779
S5_11;Site5;0,710217537;8,73E-02;3,721116994;4,63E-03;1648,353544;93,30618388;6,875021481
S5_12;Site5;0,710225586;0,139653573;0,395621993;3,55E-03;2074,794028;162,5942791;36,45978917
S5_13;Site5;0,710276185;6,05E-02;1,216851209;3,38E-03;830,6798859;83,03335552;3,111376907
S6_1;Site6;0,709979506;0,088180003;0,453558638;3,99E-03;1390,221506;102,8982762;6,482624216
S6_2;Site6;0,709980475;9,75E-02;0,228146001;3,96E-03;1034,851673;59,79270503;19,11822537
